code,nums,totalReturn,maxDrawDown,mddStart,mddEnd,maxDrawup,mduStart,mduEnd,sharpe,annualizedReturns,annualizedVolatility,variance,perValidData,durationYear,sdday,maxupday,permaxupday,offsdupday,maxdownday,permaxdownday,offsddownday,sdweek,maxupweek,permaxupweek,offsdupweek,maxdownweek,permaxdownweek,offsddownweek,sdmonth,maxupmonth,permaxupmonth,offsdupmonth,maxdownmonth,permaxdownmonth,offsddownmonth,sdyear,maxupyear,permaxupyear,offsdupyear,maxdownyear,permaxdownyear,offsddownyear,tags,createtime
501061,498,0.506000,0.145169,20200305,20200323,0.722313,20190103,20200901,1.040958,0.242375,0.204019,0.025350,0.936090,1.457534,0.159215,20200706,0.057940,-0.636092,20200203,-0.073962,-1.464538,0.021267,20200629,0.078372,2.685086,20200713,-0.043842,-3.061482,0.048967,20200701,0.116215,1.373327,20200302,-0.080283,-2.639530,0.327222,20190102,0.395362,0.208237,20180830,-0.067400,-1.205976,开放式;股票型 ;高风险,20180830
501062,461,0.465200,0.161717,20200225,20200323,0.625198,20190103,20200806,1.178437,0.224898,0.165387,0.029937,0.878095,1.438356,0.173022,20200616,0.029434,-0.829881,20200316,-0.045160,-1.261006,0.017123,20200203,0.071709,3.187767,20200713,-0.063105,-4.685331,0.040818,20191202,0.076675,0.878464,20200302,-0.107105,-3.623966,0.216784,20190102,0.263279,0.214476,20180906,-0.043300,-1.199738,开放式;混合型 ;高风险,20180906
501063,333,0.384300,0.125567,20191107,20200323,0.517016,20200323,20200901,1.294707,0.230706,0.155021,0.018542,0.675456,1.350685,0.136167,20200828,0.025396,-0.813492,20200203,-0.041833,-1.307215,0.015584,20200706,0.060364,2.873408,20200224,-0.032025,-3.054954,0.040485,20200701,0.150432,2.715762,20200302,-0.036145,-1.892792,nan,20190131,0.083400,nan,20190131,0.083400,nan,开放式;混合型 ;高风险,20190131
501064,361,1.031700,0.156895,20190404,20190617,1.156200,20190110,20200901,2.506196,0.598681,0.226910,0.109835,0.028263,34.994522,0.331414,20190315,0.043748,-0.867995,20200203,-0.067424,-1.203443,0.019336,20200525,0.060636,2.135901,20200224,-0.050297,-3.601174,0.047762,20200401,0.093746,0.962759,20200302,-0.078383,-2.641112,nan,20190110,0.421900,nan,20190110,0.421900,nan,封闭式;混合型 ;高风险,19700101
501065,372,1.220200,0.110350,20200305,20200319,1.271981,20181221,20200902,3.390566,0.669734,0.188681,0.112419,0.855172,1.191781,0.335289,20190301,0.041374,-0.876602,20200316,-0.050623,-1.150984,0.017615,20200203,0.065618,2.725167,20200120,-0.042719,-3.425172,0.044169,20200701,0.136786,2.096913,20191101,-0.032898,-1.744828,0.283465,20190104,0.400080,0.411391,20181205,-0.000800,-1.002822,开放式;混合型 ;高风险,20181205
501066,378,0.800020,0.203277,20200116,20200323,0.932762,20190104,20200828,1.642766,0.418349,0.236399,0.047563,0.807692,1.282192,0.218089,20190404,0.051996,-0.761584,20200203,-0.077429,-1.355034,0.019379,20200323,0.078139,3.032239,20200120,-0.047038,-3.427302,0.049411,20200701,0.088252,0.786079,20200302,-0.115183,-3.331124,0.381632,20190104,0.519211,0.360502,20181102,-0.020498,-1.053711,开放式;混合型 ;高风险,20181102
501067,434,0.302600,0.188591,20200113,20200319,0.429200,20181203,20200709,0.680017,0.165591,0.199393,0.008117,0.993135,1.197260,0.090094,20200706,0.062429,-0.307067,20200203,-0.065716,-1.729416,0.020743,20200323,0.064299,2.099866,20190304,-0.049192,-3.371533,0.040411,20200701,0.071681,0.773832,20200302,-0.066407,-2.643299,0.206248,20190103,0.292578,0.418577,20181203,0.000900,-0.995636,开放式;股票型 ;高风险,20181203
501068,434,0.293100,0.189185,20200113,20200319,0.420200,20181203,20200709,0.653831,0.160392,0.199428,0.007735,0.993135,1.197260,0.087951,20200706,0.062363,-0.290940,20200203,-0.065696,-1.746957,0.020740,20200323,0.064349,2.102742,20190304,-0.049152,-3.369970,0.040400,20200701,0.071423,0.767883,20200302,-0.066650,-2.649751,0.202797,20190103,0.287499,0.417665,20181203,0.000700,-0.996548,开放式;股票型 ;高风险,20181203
501069,412,0.390961,0.160205,20190410,20190809,0.579346,20190809,20200902,0.908863,0.232034,0.222293,0.022308,0.824000,1.369863,0.149357,20200302,0.048033,-0.678404,20200203,-0.080910,-1.541724,0.022548,20200203,0.054431,1.414033,20200224,-0.056443,-3.503253,0.053838,20200701,0.144195,1.678315,20200302,-0.088365,-2.641305,nan,20190124,0.129687,nan,20190124,0.129687,nan,开放式;股票型 ;高风险,20190124
501070,316,0.879400,0.123454,20200225,20200323,0.989500,20190131,20200902,2.649767,0.527929,0.187914,0.073625,0.640974,1.350685,0.271340,20200709,0.032032,-0.881951,20200203,-0.047608,-1.175457,0.017535,20200203,0.075491,3.305046,20200224,-0.034688,-2.978143,0.041250,20200203,0.105922,1.567777,20200302,-0.054787,-2.328155,nan,20190131,0.320600,nan,20190131,0.320600,nan,开放式;混合型 ;高风险,20190131
